Auto Rifles,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick Value,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Hex Caster Arc,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,66,N/A,1x,1.5x,2.35-2.56,0.27-0.35,Rapid,60,55,67,Vanilla,The Dark Below,,,,
Payback SOS,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,64,N/A,1x,1.5x,2.35-2.56,0.27-0.36,Rapid,43,58,78,The Dark Below,House Of Wolves,,,,
Eidolon Ally,Aggressive Ballistics,None,17,14,900,0.86,1.00,12,15/16,1.25x,42,N/A,1x,1.5x,2.35-2.56,0.27-0.37,Rapid,70,50,66,The Dark Below,TBA,,,,
AR760 Truth Serum,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,72,N/A,1x,1.5x,2.35-2.56,0.27-0.32,Rapid,70,50,25,House Of Wolves,The Taken King,,,,
Up For Anything,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,38,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,64,31,62,The Dark Below,House Of Wolves,,,,
For The People,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,34,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,77,40,57,The Dark Below,House Of Wolves,,,,
Do Gooder V,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,29,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,53,77,70,The Dark Below,House Of Wolves,,,,
First Rule DHYB,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,38,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,50,80,50,House Of Wolves,The Taken King,,,,
Low Down P-XIV,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,30,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,15,74,72,House Of Wolves,The Taken King,,,,
Vindicator XI,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,30,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,45,76,61,House Of Wolves,The Taken King,,,,
Abyss Defiant,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Lightweight,60,88,75,The Dark Below,TBA,,,,
Her Vengeance,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,27,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,53,59,56,House Of Wolves,TBA,,,,
Grim Citizen III,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,26,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Precise,73,40,37,Vanilla,TBA,,,,
Shadow Price,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,25,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Precise,64,43,45,Vanilla,TBA,,,,
Vanquisher VIII,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Precise,75,50,45,Vanilla,TBA,,,,
Dispatch I11,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,27,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,70,28,35,House Of Wolves,The Taken King,,,,
Her Right Hand,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,25,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,53,39,44,House Of Wolves,TBA,,,,
Pest Control Matrix,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,27,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,51,45,55,House Of Wolves,The Taken King,,,,
The Summoner,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,27,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Precise,80,36,50,House Of Wolves,TBA,,,,
Wolfslayer's Claw,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,56,45,65,House Of Wolves,TBA,,,,
Abyss Defiant,N/A,Focus Fire,28,22,300,1.40,1.80,8,10,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,60,88,75,The Dark Below,TBA,,,,
Doctrine of Passing,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,80,36,50,The Taken King,TBA,,,,
Arminius-D,N/A,None,16,13,900,0.86,1.00,12/13,15/16,1.25x,72,N/A,1x,1.5x,2.35-2.56,0.27-0.32,Rapid,50,65,80,The Taken King,TBA,,,,
Arminius-D,N/A,Focus Fire,21,17,600,0.90,1.20,10,13,1.25x,38,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,50,65,80,The Taken King,TBA,,,,
Paleocontact JPK-43,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,60,26,74,The Taken King,TBA,,,,
SUROS ARI-41,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,40,55,72,The Taken King,TBA,,,,
Righteous VII,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,60,64,63,The Taken King,TBA,,,,
Zarinaea-D,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,70,40,60,The Taken King,TBA,,,,
Haakon's Hatchet,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,50,80,79,The Taken King,TBA,,,,
Red Spectre,N/A,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Stable,65,70,50,The Taken King,TBA,,,,
Questing Beast,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,75,28,40,The Taken King,TBA,,,,
An Answering Chord,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,70,23,59,The Taken King,TBA,,,,
SUROS ARI-45,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,60,41,54,The Taken King,TBA,,,,
Antipodal Hindsight,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,70,54,45,The Taken King,TBA,,,,
Does Not Bow,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,56,45,65,The Taken King,TBA,,,,
The Dealbreaker,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,22,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,80,34,36,The Taken King,TBA,,,,
Anguish Of Drystan,N/A,None,26,21,450,0.93,1.20,8,10,1.25x,63,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Balanced,85,90,55,The Taken King,TBA,,,,
Monte Carlo,Aggressive Ballistics,None,21,17,600,0.90,1.20,10,13,1.25x,34,54,1x,1.5x,2.53-2.78,0.30-0.333,Tuco,80,60,50,Vanilla,TBA,,,,
Hard Light,Aggressive Ballistics,None,21,17,600,0.90,1.20,10,13,1.25x,40,54,1x,1.5x,1.70',0.30-0.333,Stable,100,90,100,Vanilla,TBA,,,,
Suros Regime,Smart Drift Control,Focus Fire,34,28,300,1.20,1.40,7,8,1.25x,33,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Rip In Piece,80,30,50,Vanilla,TBA,,,,
Suros Regime,Smart Drift Control,None,26,21,450,0.93,1.20,8,10,1.25x,33,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Paintballgun,80,30,50,Vanilla,TBA,,,,
Suros Regime,Linear Compensator,Focus Fire,35,29,300,1.00,1.40,6,8,1.25x,33,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Rip In Piece,80,30,50,Vanilla,TBA,,,,
Suros Regime,Linear Compensator,None,26,21,450,0.93,1.20,8,10,1.25x,33,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Paintballgun,80,30,50,Vanilla,TBA,,,,
Necrochasm,Aggressive Ballistics,None,17,14,900,0.80,0.93/1.00,12,15/16,1.25x,42,84,1x,1.5x,2.35-2.56,0.27-0.30,Scrota,65,55,75,The Dark Below,TBA,,,,
Vex Mythoclast,Smart Drift Control,Time Loop,39,26,375,0.64,1.12',5,8,1.50x,21,35,1x,1.7x,2.35-2.56,0.27-0.30,Vex F*ckgun,80,50,100,Vanilla,TBA,,,,
Vex Mythoclast,Aggressive Ballistics,Time Loop,41,28,375,0.64,0.96,5,7,1.50x,21,35,1x,1.7x,2.35-2.56,0.27-0.30,Vex F*ckgun,80,50,100,Vanilla,TBA,,,,
Zhalo Supercell,Smart Drift Control,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Shockrocks,80,90,80,The Taken King,TBA,,,,
Fabian Strategy,Smooth Ballistics,None,20,16,600,0.90,1.20,10,13,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Snowplower,80,26,50,The Taken King,TBA,,,,
Fabian Strategy,Smooth Ballistics,Front Lines,16,13,900,0.80/0.86,0.93/1.00,12/13,15/16,1.25x,31,N/A,1x,1.5x,2.53-2.78,0.30-0.333,Snowplower,80,26,50,The Taken King,TBA,,,,
Suros Regime,Smart Drift Control,Spin Up,26,21,450/600,0.93/0.70,1.20/0.90,8,10,1.25x,33,N/A,1x,1.5x,2.47-2.71,0.27-0.30,Paintballgun,80,30,50,Vanilla,TBA,,,,
Scout Rifles,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick RecoilValue,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Jigoku SR3,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,15,N/A,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,56,45,49,Vanilla,TBA,,,,
Jigoku SR3 (Beta),N/A,None,73,49,150,0.80,1.60,3,5,1.50x,15,N/A,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,56,45,49,Vanilla,TBA,,,,
Mitternacht SR3,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,16,N/A,1x,2.0x,2.66-2.94,0.338-0.370,Rapid,60,19,59,Vanilla,TBA,,,,
Válka SR3,N/A,None,57,38,200,0.90,1.50,4,6,1.50x,13,N/A,1x,2.0x,2.25-2.45,0.237-0.268,Lightweight,59,55,55,Vanilla,TBA,,,,
Naraka SR5,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,16,N/A,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,60,51,44,Vanilla,TBA,,,,
Acheron SR5,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,15,N/A,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,74,35,35,Vanilla,TBA,,,,
BronzedYamadutaSR4,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,13,N/A,1x,2.0x,2.41-2.63,0.290-0.338,Precise,63,42,41,Vanilla,TBA,,,,
Primed Yamaduta S4,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,15,N/A,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,78,42,50,Vanilla,TBA,,,,
Pulwar V/Ace,N/A,None,57,38,200,0.90,1.50,4,6,1.50x,13,N/A,1x,2.0x,2.25-2.45,0.237-0.268,Lightweight,48,71,53,Vanilla,TBA,,,,
B-Line Trauma,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,19,27,1x,2.0x,2.66-2.94,0.338-0.370,Rapid,43,20,82,The Dark Below,House Of Wolves,,,,
NL Shadow 701X,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,19,27,1x,2.0x,2.66-2.94,0.338-0.370,Rapid,80,80,40,House Of Wolves,The Taken King,,,,
Deadshot Luna SR1,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,19,27,1x,2.0x,2.66-2.94,0.338-0.370,Rapid,57,34,66,House Of Wolves,The Taken King,,,,
Wolves' Leash II,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,17,27,1x,2.0x,2.66-2.94,0.338-0.370,Rapid,59,34,82,House Of Wolves,The Taken King,,,,
Crypt Dweller SR1,N/A,None,57,38,200,0.90,1.50,4,6,1.50x,13,27,1x,2.0x,2.25-2.45,0.237-0.268,Lightweight,41,81,69,Vanilla,The Dark Below,,,,
High Road Soldier,N/A,None,57,38,200,0.90,1.50,4,6,1.50x,13,27,1x,2.0x,2.25-2.45,0.237-0.268,Lightweight,80,80,40,House Of Wolves,The Taken King,,,,
ONE/ONE Synesthete,N/A,None,57,38,200,0.90,1.50,4,6,1.50x,13,27,1x,2.0x,2.25-2.45,0.237-0.268,Lightweight,59,82,70,House Of Wolves,The Taken King,,,,
Crusader I,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,14,27,1x,2.0x,2.41-2.63,0.290-0.338,Precise,60,50,42,Vanilla,The Dark Below,,,,
Cryptic Dragon,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,75,50,60,Vanilla,The Dark Below,,,,
The Calling,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,16,27,1x,2.0x,2.41-2.63,0.290-0.338,Precise,67,39,39,Vanilla,The Dark Below,,,,
The Satereinne Rapier,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,13,27,1x,2.0x,2.41-2.63,0.290-0.338,Precise,63,53,44,The Dark Below,House Of Wolves,,,,
Another NitC,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,20,27,1x,2.0x,2.41-2.63,0.290-0.338,Precise,48,46,61,The Dark Below,House Of Wolves,,,,
Fang of Ir Yût,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,15,27,1x,2.0x,2.47-2.71,0.273-0.333,Precise,72,48,50,The Dark Below,TBA,,,,
Vision of Confluence,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,80,50,69,Vanilla,TBA,,,,
NA3D1 Salvation State,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,50,50,50,House Of Wolves,The Taken King,,,,
Pallas Regime,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,15,27,1x,2.0x,2.41-2.63,0.290-0.338,Precise,78,46,49,House Of Wolves,The Taken King,,,,
Zero Point LOTP,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,20,27,1x,2.0x,2.41-2.63,0.290-0.338,Precise,75,45,65,House Of Wolves,The Taken King,,,,
A.1F19X-RYL,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,16,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,76,22,39,Vanilla,The Dark Below,,,,
Aries Nemesis X4,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,12,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,62,37,29,Vanilla,The Dark Below,,,,
The Scholar,N/A,ReactReload,73/97,49/65,150,0.80/0.40,1.20,3,4,1.50x,15,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,60,32,40,House Of Wolves,The Taken King,,,,
Proxima Centauri II,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,14,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,69,31,21,Vanilla,The Dark Below,,,,
Gheleon's Demise,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,16,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,76,22,26,Vanilla,TBA,,,,
Badger CCL,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,14,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,75,29,39,The Dark Below,House Of Wolves,,,,
The Inward Lamp ,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,14,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,60,32,40,The Taken King,TBA,,,,
SUROS DIS-47,N/A,None,45,30,257,0.93,1.40,5,7,1.50x,19,27,1x,2.0x,2.66-2.94,0.338-0.370,Rapid,40,74,74,The Taken King,TBA,,,,
Treads Upon Stars,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,60,51,44,The Taken King,TBA,,,,
Not Like the Others,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,40,59,69,The Taken King,TBA,,,,
SUROS DIS-43,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,80,39,61,The Taken King,TBA,,,,
Tuonela SR4,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,60,74,44,The Taken King,TBA,,,,
Hung Jury SR4,N/A,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,80,66,26,The Taken King,TBA,,,,
Doom of Chelchis,Accurized Ballistics,None,63,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,Balanced,80,65,65,The Taken King,TBA,,,,
Last Extremity,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,14,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,80,69,21,The Taken King,TBA,,,,
Colovance's Duty,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,14,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,76,22,26,The Taken King,TBA,,,,
Cocytus SR4,N/A,None,73,49,150,0.80,1.60,3,5,1.50x,14,27,1x,2.0x,2.59-2.85,0.338-0.368,Marksman,60,69,39,The Taken King,TBA,,,,
MIDA-Multi Tool,Smart Drift Control,None,57,38,200,0.90,1.50,4,6,1.50x,21,27,1.75x,2.0x,1.90,0.15,GottaGoFast,80,100,90,Vanilla,TBA,,,,
Fate Of All Fools,Smart Drift Control,FoAF,73,49,150,0.80,1.60,3/2',5,1.50x,13,27,1x,2.0x,2.59-2.85,0.338-0.368,Armageddon,100,40,75,why bungie why,TBA,,,,
Tlaloc,Smooth Ballistics,None,61,41,180,1.00,1.33,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,SuperSoaker,80,45,55,Vanilla,TBA,,,,
Tlaloc,Smooth Ballistics,Overflow,61,41,?,?,?,4,5,1.50x,19,27,1x,2.0x,2.47-2.71,0.273-0.333,SuperSoaker,80,45,55,Vanilla,TBA,,,,
Boolean Gemini,Aggressive Ballistics,None,64,43,180,0.66/1.00,1.33,3,5,1.50x,19,N/A,1x,2.0x,2.47-2.71,0.273-0.333,Pirate,80,60,75,The Taken King,TBA,,,,
The Jade Rabbit,Smart Drift Control,FoAF,73,49,150,0.80,1.60,3/2',5,1.50x,13,27,1x,2.0x,2.59-2.85,0.338-0.368,woah,100,40,75,The Taken King,TBA,,,,
Touch Of Malice,Smart Drift Control,None,45,30,257,0.93,1.40,5,7,1.50x,19,N/A,1x,2.0x,2.66-2.94,0.338-0.370,666,80,45,40,The Taken King,TBA,,,,
Touch Of Malice,Smart Drift Control,ToM,62,42,257,0.70,0.93,4,5,1.50x,19,N/A,1x,2.0x,2.66-2.94,0.338-0.370,666,80,45,40,The Taken King,TBA,,,,
Hand Cannons,Barrel Upgrade,Special Modifier,Crit Shot Damage ,Body Shot Damage ,Rounds Per Minute,Time To Kill Crit,Time To Kill Body,Shots To Kill Crit,Shots To Kill Body,Crit Multiplier,Magazine Size,Field Scout Upgrade,Flinch Multiplier,Base Zoom,Reload Time,Aim Down Sights ,Weapon Archetype,Visual Kick RecoilValue,Equip Speed ,Aim Assist Percentage,Introduced,Retired,,,,
Searcher Mk. 37,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,6,N/A,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,80,36,61,Vanilla,TBA,,,,
Mos Ganon lll,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,6,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,80,63,68,Vanilla,TBA,,,,
A Little Voice,N/A,None,95,64,120,1.00/0.50,1.50',3,4,1.50x,7,N/A,1.75x,1.7x,3.61-3.97,0.236-0.267,Powerful,100,26,60,Vanilla,TBA,,,,
Painted Big ChiefMK45,N/A,None,95,64,120,1.00/0.50,1.50',3,4,1.50x,9,N/A,1.75x,1.7x,3.61-3.97,0.236-0.267,Powerful,96,23,44,Vanilla,TBA,,,,
Sir Isaac,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,7,N/A,1.75x,1.7x,3.35-3.66,0.220-0.247,Precise,83,39,61,Vanilla,TBA,,,,
Polite Denial 0/1,N/A,None,95,64,120,1.00/0.50,1.50',3,4,1.50x,9,N/A,1.75x,1.7x,3.61-3.97,0.236-0.267,Powerful,99,27,59,Vanilla,TBA,,,,
The Devil You Don't,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,5,13,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,86,85,90,Vanilla,The Dark Below,,,,
Up The Ante,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,99,89,76,House Of Wolves,The Taken King,,,,
Word of Crota,N/A,None,77,51,164,0.73,1.09',3,4,1.50x,12,N/A,1.75x,1.7x,3.13-3.40,0.167-0.197,Lightweight,57,89,74,The Dark Below,TBA,,,,
Red Hand IX,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,10,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,81,46,89,Vanilla,The Taken King,,,,
Venation III,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,8,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,91,51,83,Vanilla,The Dark Below,,,,
The Chance,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,6,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,83,53,82,Vanilla,The Dark Below,,,,
The Devil You Know,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,95,45,81,Vanilla,The Dark Below,,,,
Fatebringer,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,95,36,61,Vanilla,TBA,,,,
Lord High Fixer,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,11,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,41,65,Vanilla,The Dark Below,,,,
TFWPKY 1969,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,10,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,41,76,The Dark Below,House Of Wolves,,,,
Loner.Rebel,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,8,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,60,60,50,House Of Wolves,The Taken King,,,,
The Fulcrum,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,8,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,90,38,75,House Of Wolves,The Taken King,,,,
Her Mercy,N/A,None,86,57,138,0.86,1.30,3,4,1.50x,12,13,1.75x,1.7x,3.43-3.76,0.203-0.233,Balanced,88,36,66,House Of Wolves,TBA,,,,
