Name,Archetype,Damage,WoL,CritType,Barrel,SuperDamageResistance,Melting Point,Viking Funeral
Bane of the Taken,59/61,98,Illuminated,Regular,Smooth Ballistics,,,
Bonekruscher,59/61,61,,,Aggressive Ballistics,,,
Bonekruscher,59/61,76,,Regular,Aggressive Ballistics,,,
Bonekruscher,59/61,76,Regular,,Aggressive Ballistics,,,
Bonekruscher,59/61,95,Regular,Regular,Aggressive Ballistics,,,
Bonekruscher,59/61,82,Illuminated,,Aggressive Ballistics,,,
Bonekruscher,59/61,103,Illuminated,Regular,Aggressive Ballistics,,,
Unending Deluge III,88/29,24,Illuminated,Regular,Aggressive Ballistics,RadiantSkinSunsinger,,
The Unseeing Eye,66/53,74,,,Field Choke,,Yes,
Bonekruscher,59/61,47,Illuminated,Regular,Aggressive Ballistics,RadiantSkinSunsinger,,
